File Name,Total Frames,Total Objects,Good Objects,Multiple Objects,No Objects,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
log5_1532400226697477_scene-0036.csv,38,142,100,21,21,0.8595263157894735,0.8681578947368421,0.20797368421052628,0.9279473684210526,0.883921052631579,0.1461578947368421,0.8662368421052632
log5_1532400339698223_scene-0038.csv,37,113,75,33,5,0.7795675675675675,0.9568918918918919,0.06878378378378378,0.7164594594594595,0.751891891891892,0.26175675675675675,0.9094594594594593
log5_1532400513697151_scene-0039.csv,34,118,64,26,28,0.7886176470588234,0.8924411764705882,0.1501470588235294,0.8584411764705883,0.7734999999999999,0.24588235294117644,0.9541470588235292
log40_1535639636700162_scene-0519.csv,40,374,183,102,89,0.8661,0.8755999999999998,0.254325,2.0128749999999993,0.86175,0.28642500000000004,2.0450000000000004
log40_1535639656701289_scene-0520.csv,38,545,288,124,133,0.8537368421052631,0.8140000000000001,0.4678947368421053,2.466473684210526,0.9046578947368422,0.21599999999999997,2.214710526315789
log40_1535639676700723_scene-0521.csv,39,388,218,69,101,0.8382307692307691,0.7954615384615383,0.4473846153846154,2.13048717948718,0.9000769230769229,0.18928205128205133,1.8722307692307691
log40_1535639696700775_scene-0522.csv,39,511,267,114,130,0.8506666666666667,0.8290256410256409,0.40743589743589753,2.354435897435897,0.8800512820512821,0.2711538461538462,2.2181282051282056
log40_1535639716699138_scene-0523.csv,39,519,249,172,98,0.7795128205128206,0.7811538461538462,0.5184615384615383,2.3253076923076925,0.7831025641025643,0.5049743589743588,2.3116923076923075
log40_1535639736700247_scene-0524.csv,40,438,268,108,62,0.875775,0.8820250000000002,0.265725,2.2082249999999997,0.872625,0.284525,2.227149999999999
log41_1535658847047038_scene-0525.csv,37,289,143,47,99,0.8160540540540542,0.7612972972972973,0.4462432432432432,1.880567567567568,0.8956756756756757,0.16948648648648648,1.60372972972973
log41_1535658867049285_scene-0526.csv,40,385,193,102,90,0.8422250000000002,0.8161249999999999,0.3887,2.108399999999999,0.877275,0.24227500000000002,1.961775
log41_1535658887149936_scene-0527.csv,40,389,215,87,87,0.7616500000000002,0.8278249999999998,0.3273499999999999,1.9320250000000005,0.76845,0.41242499999999993,2.0170249999999994
log41_1535658924048424_scene-0528.csv,37,235,97,79,59,0.7492972972972974,0.7747837837837839,0.3218378378378378,1.5424324324324323,0.7383243243243243,0.37610810810810813,1.5968108108108106
log41_1535658944046256_scene-0529.csv,39,307,156,77,74,0.8093333333333333,0.7742307692307691,0.43464102564102536,1.9087435897435903,0.8614102564102566,0.25189743589743585,1.7259487179487178
